Fecha_orden,ID_orden,id_producto,Fecha_de_Envio,Cantidad
07/03/2019,US-2019-104563,20-PA-294,12/03/2019,6
19/01/2019,US-2019-146591,20-PA-295,20/01/2019,5
03/03/2019,US-2019-127978,20-PA-295,08/03/2019,5
13/01/2019,US-2019-157147,20-PA-296,18/01/2019,3
20/01/2019,US-2019-167927,20-PA-297,26/01/2019,3
11/03/2019,US-2019-114790,20-PA-298,13/03/2019,3
13/01/2019,US-2019-162775,20-PA-299,15/01/2019,6
01/03/2019,US-2019-131009,20-PO-300,05/03/2019,5
03/03/2019,US-2019-127964,20-PO-301,08/03/2019,1
14/03/2019,US-2019-114510,20-PO-302,19/03/2019,2
28/01/2019,US-2019-100328,20-PO-303,03/02/2019,1
15/02/2019,US-2019-165568,20-PO-304,19/02/2019,5
27/01/2019,US-2019-117163,20-PO-305,02/02/2019,1
01/03/2019,US-2019-168312,20-PO-305,07/03/2019,3
26/01/2019,US-2019-155502,20-PO-306,31/01/2019,2
06/01/2019,US-2019-167199,20-PO-307,10/01/2019,2
16/01/2019,US-2019-115791,20-PO-308,18/01/2019,3
11/02/2019,US-2019-168368,20-PO-309,15/02/2019,3
04/01/2019,US-2019-112326,20-PO-310,08/01/2019,3
26/01/2019,US-2019-155502,20-PO-311,31/01/2019,8
26/01/2019,US-2019-167997,20-PO-312,29/01/2019,2
01/03/2019,US-2019-143707,20-PO-313,05/03/2019,3
14/01/2019,US-2019-149524,20-PO-314,15/01/2019,4
31/01/2019,US-2019-115161,20-PO-315,02/02/2019,2
04/03/2019,US-2019-116239,20-PO-316,04/03/2019,5
11/03/2019,US-2019-158337,20-PO-317,14/03/2019,14
06/01/2019,US-2019-167199,20-PO-318,10/01/2019,1
30/01/2019,US-2019-134103,20-PO-319,04/02/2019,2
13/01/2019,US-2019-162775,20-PO-320,15/01/2019,2
20/01/2019,US-2019-147627,20-PO-320,26/01/2019,3
02/03/2019,US-2019-107524,20-PO-320,08/03/2019,2
14/03/2019,US-2019-114510,20-PO-320,19/03/2019,2
23/02/2019,US-2019-103744,20-PO-320,27/02/2019,3
02/02/2019,US-2019-139857,20-PO-320,06/02/2019,5
17/02/2019,US-2019-154165,20-PO-320,24/02/2019,14
11/03/2019,US-2019-166884,20-PO-325,16/03/2019,6
20/01/2019,US-2019-167927,20-PO-326,26/01/2019,5
02/02/2019,US-2019-123400,20-SO-327,09/02/2019,2
13/01/2019,US-2019-157147,20-SO-328,18/01/2019,5
10/03/2019,US-2019-140116,20-SO-328,17/03/2019,3
24/02/2019,US-2019-137680,20-SO-329,02/03/2019,3
19/01/2019,US-2019-146591,30-AC-330,20/01/2019,4
19/01/2019,US-2019-146591,30-AC-331,20/01/2019,5
21/01/2019,US-2019-110422,30-AC-332,23/01/2019,3
20/01/2019,US-2019-167927,30-AC-333,26/01/2019,3
11/02/2019,US-2019-168368,30-AC-334,15/02/2019,3
21/01/2019,CA-2019-115238,30-AC-335,24/01/2019,1
26/01/2019,US-2019-167997,30-AC-336,29/01/2019,2
16/02/2019,US-2019-122567,30-AC-336,21/02/2019,3
11/02/2019,US-2019-127614,30-AC-336,15/02/2019,2
11/02/2019,US-2019-168368,30-AC-336,15/02/2019,2
20/01/2019,US-2019-148614,30-AC-336,25/01/2019,2
06/01/2019,US-2019-167199,30-AC-336,10/01/2019,4
14/03/2019,US-2019-100293,30-TE-342,18/03/2019,6
05/03/2019,US-2019-169061,30-TE-342,08/03/2019,2
13/01/2019,US-2019-118192,30-TE-342,18/01/2019,7
23/01/2019,US-2019-102645,30-TE-342,28/01/2019,6
14/03/2019,US-2019-152618,30-TE-342,17/03/2019,2
02/03/2019,US-2019-111157,30-TE-342,06/03/2019,1
30/01/2019,US-2019-134103,30-TE-342,04/02/2019,2
14/03/2019,US-2019-157623,30-TE-342,18/03/2019,2
11/03/2019,US-2019-114790,30-TE-342,13/03/2019,3
20/02/2019,US-2019-164903,30-TE-342,24/02/2019,2
22/02/2019,US-2019-133354,30-TE-342,24/02/2019,3
06/01/2019,US-2019-130813,30-TE-342,08/01/2019,3
27/02/2019,US-2019-156545,30-TE-353,03/03/2019,4
03/03/2019,US-2019-155852,30-TE-353,07/03/2019,4
